OBJECTID,AREA,PERIMETER,DAMS500G_,DAMS500G_I,STATION,NAME,X_COORD,Y_COORD,TYPE,ALIAS,FEAT_ID,AREA_KM2,Shape_Length,Shape_Area
36,3.54923686e-05,0.0349461511,37,0,B5H001Q01,Nkumpi1,29.3144093,-24.2840309,RESERVOIR, ,0,3.54923695e-11,0.0349461502950603,3.54923711477218e-05
37,0.000509359466,0.227184355,38,17,A6R001Q01,Doorndraai,28.7557983,-24.2985592,RESERVOIR, ,0,5.09359444e-10,0.227184350175851,0.000509359469652446
38,8.54262398e-05,0.0558144823,39,0,B5H001Q01,Nkumpi2,29.3152657,-24.2936897,RESERVOIR, ,0,8.54262425e-11,0.0558144837065021,8.54262412451842e-05
39,9.68141685e-05,0.0847597942,40,21,B7R001Q01,Klaserie,31.0625095,-24.5298691,RESERVOIR,Jan Wassenaar,0,9.68141678e-11,0.0847597964923807,9.68141662507622e-05
40,0.000237742875,0.190312326,41,0,B6R003Q01,Blyderivierspoort,30.8015289,-24.5436001,RESERVOIR, ,0,2.37742881e-10,0.190312317589584,0.000237742865847796
41,0.000110726127,0.117665857,42,20, ,Piet Gouws,29.6186295,-24.5713501,RESERVOIR, ,0,1.1072613e-10,0.117665851865168,0.000110726129957797
42,3.85987732e-06,0.0086153103,43,110077,B5R001Q01,Klavervalley,29.0386925,-24.6158791,RESERVOIR, ,0,3.85987726e-12,0.0086153101475953,3.85987731464955e-06
43,3.05796275e-05,0.0347683541,44,0,A6R003Q01,Donkerpoort,28.3213463,-24.6659393,RESERVOIR, ,0,3.05796291e-11,0.0347683555964902,3.05796297708788e-05
44,0.000786482589,0.264549106,45,0, ,Gaborone,25.9066963,-24.7178192,RESERVOIR, ,0,7.86482601e-10,0.264549115527419,0.000786482580644441
45,0.00103937148,0.401318789,46,231,B5R002Q01,Flag Boshielo,29.4401455,-24.8271694,RESERVOIR,Arabie,0,1.03937148e-09,0.401318804190351,0.00103937152268813
46,2.09632726e-05,0.0263173804,47,24, ,Lola Montes,29.4940586,-24.8194008,RESERVOIR, ,0,2.09632728e-11,0.0263173799495653,2.09632724147915e-05
47,1.55443213e-05,0.0250991508,48,0, ,Buffelspruit443KR,28.2072525,-24.8239193,RESERVOIR, ,0,1.5544321e-11,0.0250991513570631,1.55443212101444e-05
48,5.73074212e-05,0.0749977157,49,505,A2R008Q01,Warmbad,28.2411537,-24.8472099,RESERVOIR, ,0,5.73074227e-11,0.0749977172445005,5.73074224259631e-05
49,1.02092999e-05,0.0193166398,50,0, ,Roodepoort467KR,28.2597847,-24.8629398,RESERVOIR, ,0,1.02093004e-11,0.0193166419833306,1.0209299920898e-05
50,3.16110672e-05,0.0663973764,51,110116,X3R002Q01,Inyaka,31.0848579,-24.8843498,RESERVOIR,Injaka,0,3.16110679e-11,0.0663973772280832,3.1611066286336e-05
51,0.000114786279,0.0621887073,52,0,A2R010Q01,Bierspruit,27.1355801,-24.9169502,RESERVOIR, ,0,1.14786278e-10,0.0621887044334712,0.000114786269969365
52,6.69451838e-05,0.0647208467,53,26,B6R001Q01,Ohrigstad,30.6330795,-24.9389992,RESERVOIR, ,0,6.69451855e-11,0.0647208476900798,6.69451831592138e-05
53,7.44620047e-06,0.0132277133,54,0,B4R004Q01,Buffelskloof,30.2635765,-24.9552593,RESERVOIR, ,0,7.44620077e-12,0.0132277139896474,7.44620120700975e-06
54,0.000159570307,0.186244324,55,507,B3R005Q01,Rhenosterkop,28.897686,-25.0949707,RESERVOIR, ,0,1.59570301e-10,0.186244328879905,0.000159570319167171
55,0.00457748538,0.953064978,56,540, ,Corumana,32.1140747,-25.1601391,RESERVOIR, ,188209,4.5774855e-09,0.953064975471895,0.00457748522268905
56,7.12837209e-06,0.0254515428,57,110082,B4R003Q01,Mapochs,29.8824558,-25.1023808,RESERVOIR, ,0,7.12837211e-12,0.0254515439952147,7.12837316694976e-06
57,4.24145401e-05,0.0447110347,58,0, ,Kromspruit019JP,26.4974232,-25.1147099,RESERVOIR, ,0,4.24145406e-11,0.0447110340022726,4.241454277535e-05
58,0.001261172,0.359773606,59,30,A2R012Q01,Klipvoor,27.8234386,-25.1466599,RESERVOIR, ,0,1.26117206e-09,0.359773611837261,0.00126117198591159
59,0.000105657149,0.114449911,60,313,X3R001Q01,Da Gama,31.0174713,-25.1497307,RESERVOIR, ,0,1.0565715e-10,0.114449906155347,0.000105657153281206
60,0.000184220436,0.143271342,61,314,X2R002Q01,Klipkopjes,31.0034351,-25.2066097,RESERVOIR,Klipkoppies,0,1.84220431e-10,0.143271341784013,0.000184220429884899
61,0.000235944288,0.0873220935,62,591,A1R001Q01,Ngotwane,25.808567,-25.2121792,RESERVOIR, ,0,2.35944292e-10,0.0873220924243464,0.00023594428567849
62,0.000171933658,0.123261422,63,315,X2R003Q01,Witklip,30.8939419,-25.2250595,RESERVOIR, ,0,1.71933662e-10,0.123261425420094,0.000171933656333396
63,9.51465263e-05,0.0508099161,64,0, ,Uitkyk22JP,26.4488049,-25.2201996,RESERVOIR, ,0,9.51465295e-11,0.0508099149077942,9.5146526585183e-05
64,0.000414024835,0.213289201,65,32,B3R001Q01,Rust De Winter,28.4915829,-25.2288303,RESERVOIR, ,0,4.14024842e-10,0.213289191289945,0.000414024830811176
65,9.85539918e-06,0.0154386554,66,508,B4R002Q01,Vlugkraal,29.951292,-25.2301502,RESERVOIR, ,0,9.85539948e-12,0.0154386556846749,9.85539941151734e-06
66,4.67864447e-05,0.0788509995,67,586,X2R001Q01,Longmere (Witrivier),31.0014019,-25.2765293,RESERVOIR, ,0,4.67864462e-11,0.078850999823701,4.67864468973346e-05
67,0.000129019871,0.0537280738,68,33, ,Houwater,27.1252651,-25.2625008,RESERVOIR, ,0,1.29019864e-10,0.0537280730802804,0.000129019870120192
68,5.06824472e-06,0.0112033831,69,600,B4H016Q01,Tonteldoos,29.9418068,-25.2796307,RESERVOIR, ,0,5.06824487e-12,0.0112033839692918,5.0682453081475e-06
69,8.7716624e-05,0.0864624679,70,39,B3R003Q01,Rooikraal,29.6511688,-25.2951908,RESERVOIR, ,0,8.77166256e-11,0.0864624670898131,8.77166280192566e-05
70,0.000970504188,0.485160917,71,36,A2R014Q01,Vaalkop,27.4688931,-25.3124409,RESERVOIR, ,0,9.70504233e-10,0.485160910928817,0.000970504198526843
71,3.81058271e-05,0.0378659926,72,110088,A3R005Q01,Sehujwane,25.9501839,-25.3109398,RESERVOIR, ,0,3.81058275e-11,0.0378659927817126,3.81058253700156e-05
72,1.71821739e-06,0.00523177534,73,0,A2R014Q01,Vaalkop,27.4671001,-25.3088894,ISLAND, ,0,1.71821737e-12,0.0052317749836755,1.71821724917936e-06
73,5.2843352e-06,0.0118207177,74,0,A2R014Q01,Vaalkop,27.4626522,-25.3137398,ISLAND, ,0,5.28433504e-12,0.011820717077977,5.28433539656307e-06
74,5.30522993e-06,0.0103557492,75,0,A2R014Q01,Vaalkop,27.4511509,-25.3171501,ISLAND, ,0,5.30522978e-12,0.010355747810168,5.30522986666804e-06
75,0.00095632486,0.199337497,76,509,X2R005Q01,Kwena,30.3675423,-25.3682899,RESERVOIR,Braam Raubenheimer,0,9.56324908e-10,0.199337502203255,0.00095632487637699
76,3.77578799e-05,0.0509476066,77,594,X2R004Q01,Primkop,31.0709114,-25.3835297,RESERVOIR, ,0,3.77578802e-11,0.0509476042000667,3.77578778801259e-05
77,3.64398365e-05,0.055760581,78,585,A2R016Q01,Leeukraal,28.275568,-25.3904305,RESERVOIR, ,0,3.64398373e-11,0.0557605806439682,3.64398349562171e-05
78,1.33980102e-05,0.029152995,79,510,B3R004Q01,Roodepoort B,29.4871159,-25.4009495,RESERVOIR, ,0,1.33980101e-11,0.0291529938063735,1.33980088677872e-05
79,0.00088986929,0.494777918,80,598,A2R015Q01,Roodekopjes,27.5858097,-25.4100399,RESERVOIR, ,0,8.89869289e-10,0.494777908100791,0.000889869300940451
80,0.002296163,0.608121157,81,551,B3R002Q01,Loskop,29.3221645,-25.4291,RESERVOIR, ,0,2.29616304e-09,0.608121160057883,0.00229616289338654
81,0.000197536676,0.101306438,82,196,A3R003Q01,Kromellenboog,26.3424778,-25.4528809,RESERVOIR, ,0,1.97536681e-10,0.10130643837665,0.000197536672754676
82,6.26917536e-05,0.0363865793,83,0, ,Grootrietvley210JS,29.7570343,-25.4552307,NATURAL, ,0,6.26917546e-11,0.0363865786116014,6.26917555336097e-05
83,0.000415486546,0.157476798,84,197,A3R001Q01,Marico-Bosveld,26.3898449,-25.4934502,RESERVOIR, ,0,4.15486534e-10,0.157476804495357,0.000415486532836466
84,0.000134169124,0.108960077,85,42,A2R007Q01,Lindleys Poort,26.6893711,-25.5117397,RESERVOIR,Lindleyspoort,0,1.3416912e-10,0.108960081664496,0.000134169124371035
